id_servidor,sexo,cargo,categoria_cargo,carga_horaria_semanal,tipo_pagamento,data_admissao,data_desligamento,mes,proventos,descontos,liquido
5a69806a2b26328cb82b24260282ba8037ddf3a430cff802af0f184a9458defd,M,MECANICO II,operacional,40,vale_alimentacao,1991-04-08,,,1000.0,0.0,1000.0
5a69806a2b26328cb82b24260282ba8037ddf3a430cff802af0f184a9458defd,M,MECANICO II,operacional,40,folha_mensal,1991-04-08,,,5187.77,1584.02,3603.75
348b58a2d1473088be45887aaa8b05de2944865139083c35e2e070ec8a228598,F,TECNICO EM ENFERMAGEM,saude,30,vale_alimentacao,2023-12-04,,,1000.0,0.0,1000.0
348b58a2d1473088be45887aaa8b05de2944865139083c35e2e070ec8a228598,F,TECNICO EM ENFERMAGEM,saude,30,folha_mensal,2023-12-04,,,6763.07,1330.84,5432.23
28b810f6dcab5e62dcaddb7d93fa4384c7858119885ee456445cf6fe5da7a07d,M,JARDINEIRO,operacional,40,vale_alimentacao,1991-04-08,,,1000.0,0.0,1000.0
28b810f6dcab5e62dcaddb7d93fa4384c7858119885ee456445cf6fe5da7a07d,M,JARDINEIRO,operacional,40,folha_mensal,1991-04-08,,,3067.42,457.85,2609.57
96c6f351c3d01ddb0345e1a7239a7b3b9437fe72513ded170a0892d78541c2c0,F,PROFESSOR DE SALA DE APOIO (PSA-EDUC.ESPECIAL),educacao,30,vale_alimentacao,2012-02-01,,,1000.0,0.0,1000.0
96c6f351c3d01ddb0345e1a7239a7b3b9437fe72513ded170a0892d78541c2c0,F,PROFESSOR DE SALA DE APOIO (PSA-EDUC.ESPECIAL),educacao,30,folha_mensal,2012-02-01,,,6888.62,2096.02,4792.6
509a894c0b10d544ce1dbe8ab0c505aacf05613a1b96cccf543fe046fefbd84b,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,folha_mensal,2013-05-13,,,2385.5,279.02,2106.48
509a894c0b10d544ce1dbe8ab0c505aacf05613a1b96cccf543fe046fefbd84b,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,vale_alimentacao,2013-05-13,,,1000.0,0.0,1000.0
509a894c0b10d544ce1dbe8ab0c505aacf05613a1b96cccf543fe046fefbd84b,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,Adiantamento 13º Salário,2013-05-13,,,996.52,0.0,996.52
1864c99e1dbb409a226b66c0748bfe751369c793e42dbd6bf346f4835a4e30ff,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,vale_alimentacao,2010-01-04,,,1000.0,0.0,1000.0
1864c99e1dbb409a226b66c0748bfe751369c793e42dbd6bf346f4835a4e30ff,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,folha_mensal,2010-01-04,,,3871.92,953.74,2918.18
eeeb395ad54dac93d96b795ff6d39d1119baa70d9e6b0014ac1fd74ef71ddc6c,M,AJUDANTE DE ENCANADOR,operacional,40,vale_alimentacao,1991-04-08,,,1000.0,0.0,1000.0
eeeb395ad54dac93d96b795ff6d39d1119baa70d9e6b0014ac1fd74ef71ddc6c,M,AJUDANTE DE ENCANADOR,operacional,40,folha_mensal,1991-04-08,,,4578.36,982.65,3595.71
5caa33149b65aa799887cdb28766b0821978d73cebc4253a7d18f4a2c134bfb8,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,vale_alimentacao,2008-08-07,,,1000.0,0.0,1000.0
5caa33149b65aa799887cdb28766b0821978d73cebc4253a7d18f4a2c134bfb8,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,folha_mensal,2008-08-07,,,2355.4,329.76,2025.64
364a3857acaf37ada7ebd8c614d44456c736b57129b0c5571037a2b632f6318e,F,AUXILIAR DE CRECHE,educacao,40,vale_alimentacao,2004-07-12,,,1000.0,0.0,1000.0
364a3857acaf37ada7ebd8c614d44456c736b57129b0c5571037a2b632f6318e,F,AUXILIAR DE CRECHE,educacao,40,folha_mensal,2004-07-12,,,2720.77,352.99,2367.78
2ac764b82473ed857d41a44b1d062d2aaee72851244f515df42242b2a34e3ae5,F,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,vale_alimentacao,2023-08-21,,,1000.0,0.0,1000.0
2ac764b82473ed857d41a44b1d062d2aaee72851244f515df42242b2a34e3ae5,F,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,folha_mensal,2023-08-21,,,2965.97,323.3,2642.67
960670685dba1bb88eec9b11b503f3126cbb8f0c04ed77ed79300d968e1c8271,F,AUXILIAR DE CRECHE,educacao,40,vale_alimentacao,2020-02-03,,,1000.0,0.0,1000.0
960670685dba1bb88eec9b11b503f3126cbb8f0c04ed77ed79300d968e1c8271,F,AUXILIAR DE CRECHE,educacao,40,folha_mensal,2020-02-03,,,2146.34,300.49,1845.85
65a992a3c19117fa2fc4b5fb936d5da2b7e53fe9414ea3fdedf41fd119ecdf50,F,PROFESSOR,educacao,40,vale_alimentacao,1997-09-01,,,1000.0,0.0,1000.0
65a992a3c19117fa2fc4b5fb936d5da2b7e53fe9414ea3fdedf41fd119ecdf50,F,PROFESSOR,educacao,40,folha_mensal,1997-09-01,,,9856.75,3537.12,6319.63
c94713362be50ca7fb48fc40b8a5ecaf609f48e6a6835b7cea7885f4472b2d91,F,MERENDEIRA,educacao,40,vale_alimentacao,2007-12-11,,,1000.0,0.0,1000.0
c94713362be50ca7fb48fc40b8a5ecaf609f48e6a6835b7cea7885f4472b2d91,F,MERENDEIRA,educacao,40,folha_mensal,2007-12-11,,,2332.09,326.49,2005.6
5864b9eeaf90b14cd52abcf20cd95b1ace2dff554304032a68894f43bcfc8ae6,F,PROFESSOR,educacao,30,vale_alimentacao,1983-01-28,,,1000.0,0.0,1000.0
5864b9eeaf90b14cd52abcf20cd95b1ace2dff554304032a68894f43bcfc8ae6,F,PROFESSOR,educacao,30,folha_mensal,1983-01-28,,,13074.29,3531.92,9542.37
15e0fd282a4b3c292afdd1fc81bfb1e1715c3e03f59795e59517e7b8aef82293,F,SERVENTE,operacional,40,vale_alimentacao,2000-01-18,,,1000.0,0.0,1000.0
15e0fd282a4b3c292afdd1fc81bfb1e1715c3e03f59795e59517e7b8aef82293,F,SERVENTE,operacional,40,folha_mensal,2000-01-18,,,2757.57,918.61,1838.96
20d547489b997632fb4a825d0feaa9ddfdaec1473f04d6875c06b5efc0151cd6,F,AUXILIAR DE CRECHE,educacao,40,vale_alimentacao,2012-08-13,,,1000.0,0.0,1000.0
20d547489b997632fb4a825d0feaa9ddfdaec1473f04d6875c06b5efc0151cd6,F,AUXILIAR DE CRECHE,educacao,40,folha_mensal,2012-08-13,,,2276.21,807.35,1468.86
3c1bb8969ed6e90b9340cfeec3ea48aa4dc455ed1737161fbe029e3b53e98abe,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,vale_alimentacao,2023-11-06,,,1000.0,0.0,1000.0
3c1bb8969ed6e90b9340cfeec3ea48aa4dc455ed1737161fbe029e3b53e98abe,M,AJUDANTE DE SERVICOS DIVERSOS,operacional,40,folha_mensal,2023-11-06,,,2439.02,300.49,2138.53
60b1fb5e6cd31d7c51c34eb8997c01309769f84f1261eb7dc7bb879affbfbd07,M,TECNICO EM ENFERMAGEM,saude,30,vale_alimentacao,2012-12-03,,,1000.0,0.0,1000.0
